Item Code,Description,Item Group
A12142,AURELIUS CARE FOREHEAD INFRARED THERMOMETER TE-79,MEDICAL DEVICE & SUPPLY
A12143,AURELIUS CARE 2IN1 INFRARED THERMOMETER TE-91,MEDICAL DEVICE & SUPPLY
A12114,BERGAMOT NITRILE GLOVES (L) BLUE 100'S,OTC
B10303,DISCONTINUE,OTC
B10304,JARDIANCE DUO 12.5/1000MG 60'S,POISON
B10305,REGRO 5% LOTION 80ML,POISON
A12115,DISCONTINUE,OTC
A12116,QUICK COOK CREAMY SWEET POTATO PASTA 70G ,OTC
A12117,QUICK COOK CREAMY MUSHROOM PASTA 70G ,BABY & MOM
A12120,RENU FRESH MULTI PURPOSE SOL 355ML,OTC
A12121,RENU SENSITIVE 355ML,OTC
A12122,DISCONTINUE,OTC
A12183,LIFEBUOY BW VITA PROTECT 500ML,PERSONAL CARE
A12184,LIFEBUOY BW COOL FRESH 500ML,PERSONAL CARE
A12185,DISCONTINUE,OTC
A12192,DISCONTINUE,OTC
A12193,EMPTY BOTTLE 60ML,CONSIGNMENT DR HANISAH
A12194,DISCONTINUE,OTC
A12195,~YUM EARTH ORGANIC POPS VITAMIN C 87G,CONSIGNMENT DR HANISAH
A12196,DISCONTINUE,OTC
A12197,DISCONTINUE,CONSIGNMENT DR HANISAH
A12198,DISCONTINUE,OTC
A12146,DISCONTINUE,OTC
A12147,DISCONTINUE,OTC
A12148,DISCONTINUE,OTC
A12149,DISCONTINUE,OTC
A12150,DISCONTINUE,OTC
A12151,DISCONTINUE,OTC
A12152,DISCONTINUE,OTC
B10323,DIABETMIN RETARD 850MG STRIP 10'S,POISON
A12174,NUTRIFORTE FISH OIL 1000MG 100'S,OTC
A12175,DISCOUNTINUE,OTC
A12176,HOVID LIQUID PARAFFIN 100ML,OTC
A12177,DYNA FERROUS FUMARATE 200MG 10'S,OTC
A12179,DISCONTINUE,OTC
A12180,LIFEBUOY BW MILD CARE 500ML,PERSONAL CARE
A12181,DISCOUNTINUE,OTC
B10310,CURAM 625MG STRIP 4'S,POISON
B10311,FUKOLE 150MG STRIP 1'S,POISON
B10312,OSPAMOX 250MG/5ML GRANULE 60ML,POISON
B10313,MAXIDEX DROPS 5ML,POISON
B10314,DIAMITEX STRIP 10'S,POISON
B10315,SEDILIX-RX LINCTUS 120ML,POISON
B10316,RHINOCORT AQUA 64MCG 120D,POISON
A12124,DISCONTINUED,CONSIGNMENT
A12136,NATRIEO 50MG 60'S,OTC
B10318,VENTOLIN SYRUP 100ML,POISON
B10319,HOVID SALBUTAMOL SYRUP 2MG/5ML 100ML,POISON
B10320,*VENTOLIN NEBULES PACK 5'S,POISON
B10321,MABRON 50MG STRIP 10'S,POISON
B10322,FELXICAM 20MG STRIP 10'S,POISON
A12153,COLOURED HAIR BRUSH,OTC
A12154,WOODEN HAIR BRUSH,OTC
A12156,DISCONTINUE,OTC
A12157,DISCONTINUE,OTC
A12158,~UNIECO SURFACE SANITIZER 500ML,CONSIGNMENT
A12159,~UNIECO HAND SANITIZER GEL 50ML,CONSIGNMENT
A12160,~UNIECO HAND SANITIZER 500ML,CONSIGNMENT
A12161,DISCONTINUE,OTC
A12162,DISCONTINUE,OTC
A12163,DISCONTINUE,OTC
A12164,DISCONTINUE,OTC
A12165,DISCONTINUE,OTC
A12166,DISCONTINUE,OTC
A12167,DISCONTINUE,OTC
A12168,DISCONTINUE,OTC
A12169,DISCONTINUE,OTC
A12170,DISCONTINUE,OTC
A12171,~FACE BLEND 100G,CONSIGNMENT DR HANISAH
B10325,DISCONTINUE,OTC
A12172,HY MINYAK GAMAT ASLI LANGKAWI PLUS 60ML,OTC
A11951,COLGATE TP TOTAL WHITENING 150G 2'S,PERSONAL CARE
A11947,DISCONTINUE,OTC
A11948,EASYSURE GCU MULTI-FUNCTION MONITORING SYSTEM,MEDICAL DEVICE & SUPPLY
A11949,DISCONTINUE,OTC
B10287,YSP DOXYMYCIN 100MG STRIP 10'S,POISON
B10289,*VOCINTI 20MG STRIP 10'S,POISON
A11955,COLGATE TP TOTAL PRO BREATH HEALTH 150G 2'S,PERSONAL CARE
A11956,COLGATE TP OPTIC WHITE DAZZLING WHITENING 100G,PERSONAL CARE
A11957,COLGATE SENSITIVE PRO RELIEF REPAIR &amp; PREVENT 114G,PERSONAL CARE
A11959,DISCONTINUED,OTC
A11961,DISCONTINUE,PERSONAL CARE
A11960,DISCONTINUE,PERSONAL CARE
A11962,DISCONTINUE,OTC
